Year_Birth,Education,Marital_Status,Income,Kidhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumStorePurchases,NumWebVisitsMonth,Complain,WebPurchases,Age,Children,TotalSpent,CustomerType
1985,2n Cycle,Single,33812.0,1,86,4,17,19,30,24,39,3,6,0,0,41,1,133,Não Comprador
1982,Graduation,Married,37040.0,0,41,86,2,73,69,38,48,5,8,0,1,44,0,316,Comprador
1979,Graduation,Married,2447.0,1,42,1,1,1725,1,1,1,0,1,0,0,47,1,1730,Não Comprador
1949,PhD,Married,58607.0,0,63,867,0,86,0,0,19,9,8,0,0,77,0,972,Não Comprador
1954,PhD,Married,65324.0,0,0,384,0,102,21,32,5,9,4,0,1,72,0,544,Comprador
1951,Graduation,Together,40689.0,0,69,270,3,27,39,6,99,5,8,0,1,75,0,444,Comprador
1969,Graduation,Single,18589.0,0,89,6,4,25,15,12,13,3,7,0,0,57,0,75,Não Comprador
1976,Graduation,Married,53359.0,1,4,173,4,30,3,6,41,4,7,0,1,50,1,257,Comprador
1986,Graduation,Single,51381.5,1,19,5,1,3,3,263,362,0,1,0,1,40,1,637,Comprador
1989,Graduation,Married,38360.0,1,26,36,2,42,20,21,10,4,3,0,0,37,1,131,Não Comprador
1965,PhD,Married,84618.0,0,96,684,100,801,21,66,0,10,2,0,1,61,0,1672,Comprador
1989,Master,Divorced,10979.0,0,34,8,4,10,2,2,4,3,5,0,0,37,0,30,Não Comprador
1963,Master,Together,38620.0,0,56,112,17,44,34,22,89,3,3,0,0,63,0,318,Não Comprador
1970,Graduation,Together,40548.0,0,31,110,0,5,2,0,3,4,5,0,0,56,0,120,Não Comprador
1952,PhD,Divorced,46610.0,0,8,96,12,96,33,22,43,6,6,0,1,74,0,302,Comprador
1946,Master,Married,68657.0,0,4,482,34,471,119,68,22,9,7,0,0,80,0,1196,Não Comprador
1951,Master,Single,49389.0,1,55,40,0,19,2,1,3,3,7,0,0,75,1,65,Não Comprador
1970,PhD,Married,67353.0,0,37,702,17,151,0,8,35,12,2,0,1,56,0,913,Comprador
1976,2n Cycle,Married,23718.0,1,76,6,3,14,15,7,36,2,7,0,0,50,1,81,Não Comprador
1973,Graduation,Widow,42429.0,0,99,55,0,6,2,0,4,3,5,0,0,53,0,67,Não Comprador
1943,PhD,Divorced,48948.0,0,53,437,8,206,160,49,42,5,6,0,1,83,0,902,Comprador
1980,Graduation,Married,80011.0,0,3,421,76,536,82,178,102,5,4,0,1,46,0,1395,Comprador
1985,Master,Married,20559.0,1,88,13,1,29,3,0,7,3,8,0,0,41,1,53,Não Comprador
1957,Graduation,Together,21994.0,0,4,9,0,6,3,1,3,3,5,0,0,69,0,22,Não Comprador
1959,PhD,Single,51381.5,0,80,81,11,50,3,2,39,4,2,0,0,67,0,186,Não Comprador
1975,Master,Married,7500.0,1,19,3,1,10,3,2,12,3,5,0,0,51,1,31,Não Comprador
1976,Graduation,Single,79941.0,0,72,123,164,266,227,30,174,9,1,0,0,50,0,984,Não Comprador
1996,2n Cycle,Married,7500.0,0,24,3,18,14,15,22,50,3,9,0,0,30,0,122,Não Comprador
1968,Graduation,Together,41728.0,1,92,13,6,15,3,5,13,2,10,0,0,58,1,55,Não Comprador
1951,Graduation,Single,51381.5,2,96,48,5,48,6,10,7,4,6,0,0,75,2,124,Não Comprador
1954,PhD,Married,72550.0,1,39,826,50,317,50,38,38,12,8,0,1,72,1,1319,Comprador
1957,Graduation,Widow,65486.0,0,29,245,19,125,37,67,14,10,2,0,1,69,0,507,Comprador
1964,Master,Married,79143.0,0,2,650,37,780,27,167,32,13,3,0,1,62,0,1693,Comprador
1977,Graduation,Single,35790.0,1,54,12,6,20,30,1,3,3,7,0,0,49,1,72,Não Comprador
1977,Graduation,Divorced,82582.0,0,54,510,120,550,156,40,241,7,1,0,1,49,0,1617,Comprador
1978,Graduation,Married,66373.0,1,57,328,9,124,12,24,109,10,3,0,1,48,1,606,Comprador
1955,Master,Together,82384.0,0,55,984,51,432,180,120,190,13,1,0,0,71,0,1957,Não Comprador
1966,Graduation,Divorced,70287.0,0,30,295,35,482,121,120,40,10,3,0,1,60,0,1093,Comprador
1988,Graduation,Single,27938.0,1,31,13,0,8,2,1,5,4,3,0,0,38,1,29,Não Comprador
1982,Graduation,Single,51381.5,1,57,11,3,22,2,2,6,3,6,0,0,44,1,46,Não Comprador
1968,PhD,Married,55954.0,0,63,447,0,28,0,0,43,6,7,0,1,58,0,518,Comprador
1982,Master,Single,75777.0,0,12,712,26,538,69,13,80,11,1,0,0,44,0,1438,Não Comprador
1975,Graduation,Together,66653.0,1,18,452,18,102,16,18,6,12,3,0,1,51,1,612,Comprador
1952,Graduation,Single,61823.0,0,26,523,7,134,37,14,169,10,7,0,1,74,0,884,Comprador
1951,PhD,Widow,67680.0,0,8,546,0,48,0,6,6,8,5,0,1,75,0,606,Comprador
1948,Graduation,Together,70666.0,0,29,398,40,367,119,122,30,4,4,0,1,78,0,1076,Comprador
1971,Graduation,Married,25721.0,1,75,1,3,6,3,6,15,2,7,0,0,55,1,34,Não Comprador
1967,Graduation,Together,32474.0,1,0,10,0,1,0,0,0,2,7,0,0,59,1,11,Não Comprador
1979,2n Cycle,Single,88194.0,0,19,688,14,309,201,24,38,10,5,0,1,47,0,1274,Comprador
1958,Graduation,Together,69096.0,0,4,247,49,159,7,82,109,10,4,0,1,68,0,653,Comprador
1970,Graduation,Together,74854.0,1,90,856,59,487,58,29,73,5,5,0,0,56,1,1562,Não Comprador
1954,Master,Married,66991.0,0,1,496,36,460,189,60,12,6,3,0,1,72,0,1253,Comprador
1973,2n Cycle,Married,51381.5,1,25,25,3,43,17,4,17,3,8,0,0,53,1,109,Não Comprador
1959,Graduation,Married,65031.0,0,29,258,107,291,84,37,86,13,7,0,1,67,0,863,Comprador
1975,PhD,Married,60631.0,1,88,565,6,65,0,6,19,8,7,0,1,51,1,661,Comprador
1952,Graduation,Married,28332.0,0,58,14,10,13,4,15,9,4,2,0,0,74,0,65,Não Comprador
1977,Graduation,Divorced,40246.0,1,68,2,1,6,2,1,1,2,6,0,0,49,1,13,Não Comprador
1972,Master,Married,75251.0,0,34,721,111,925,97,18,18,5,5,0,1,54,0,1890,Comprador
1976,Graduation,Single,75825.0,0,40,1032,105,779,137,105,51,9,4,0,1,50,0,2209,Comprador
1976,2n Cycle,Together,26326.0,0,12,1,0,5,0,3,9,3,3,1,0,50,0,18,Não Comprador
1965,Graduation,Together,56046.0,0,9,577,0,64,0,0,51,8,8,0,1,61,0,692,Comprador
1985,Graduation,Single,29760.0,1,87,64,4,68,7,5,17,4,8,0,0,41,1,165,Não Comprador
1969,Graduation,Married,26304.0,1,5,4,1,5,2,0,4,2,7,0,0,57,1,16,Não Comprador
1973,2n Cycle,Married,23559.0,1,87,25,5,19,7,0,23,3,7,0,0,53,1,79,Não Comprador
1963,Master,Together,38620.0,0,56,112,17,44,34,22,89,3,3,0,0,63,0,318,Não Comprador
1987,Graduation,Divorced,81361.0,0,18,163,23,424,27,65,76,13,1,0,0,39,0,778,Não Comprador
1960,Graduation,Married,29440.0,1,95,17,8,14,10,4,3,4,7,0,0,66,1,56,Não Comprador
1970,Master,Married,36138.0,1,48,130,0,16,0,0,5,4,7,0,0,56,1,151,Não Comprador
1957,Graduation,Single,50388.0,0,3,292,6,37,0,3,34,6,7,0,1,69,0,372,Comprador
1973,Graduation,Married,79593.0,0,70,350,60,568,110,133,145,7,2,0,1,53,0,1366,Comprador
1967,Graduation,Together,54178.0,0,79,135,9,39,4,0,7,5,2,0,0,59,0,194,Não Comprador
1957,PhD,Married,51381.5,2,4,230,42,192,49,37,53,8,9,0,1,69,2,603,Comprador
1957,Graduation,Single,51381.5,1,45,7,0,8,2,0,1,2,7,0,0,69,1,18,Não Comprador
1973,Master,Together,51381.5,0,87,445,37,359,98,28,18,8,1,0,0,53,0,985,Não Comprador
1972,Master,Single,42394.0,1,69,15,2,10,0,1,4,3,7,0,0,54,1,32,Não Comprador
1970,PhD,Married,23626.0,1,84,27,2,14,0,0,0,3,5,0,0,56,1,43,Não Comprador
1983,Graduation,Married,30096.0,1,30,5,3,11,12,5,9,3,6,0,0,43,1,45,Não Comprador
1960,Graduation,Widow,47916.0,0,72,505,0,26,0,0,75,6,6,0,1,66,0,606,Comprador
1972,Graduation,Divorced,51813.0,1,37,51,2,7,0,1,2,3,7,0,0,54,1,63,Não Comprador
1951,2n Cycle,Married,78497.0,0,44,207,26,447,75,0,223,12,2,0,1,75,0,978,Comprador
1983,PhD,Married,50150.0,0,32,135,46,92,65,61,11,7,5,0,1,43,0,410,Comprador
1960,2n Cycle,Single,47823.0,0,0,53,1,5,2,1,10,3,8,0,0,66,0,72,Não Comprador
1959,PhD,Single,34554.0,0,43,41,1,6,2,0,5,3,6,0,0,67,0,55,Não Comprador
1979,Graduation,Together,85693.0,0,59,386,172,183,185,132,111,11,5,0,1,47,0,1169,Comprador
1945,PhD,Married,65846.0,0,68,562,81,276,80,40,81,6,4,0,1,81,0,1120,Comprador
1959,Graduation,Married,87195.0,0,35,217,76,690,50,26,38,5,1,0,0,67,0,1097,Não Comprador
1979,Basic,Together,24594.0,1,94,1,3,6,10,0,9,3,5,0,0,47,1,29,Não Comprador
1964,Graduation,Married,49096.0,1,15,144,1,32,2,1,7,4,7,0,1,62,1,187,Comprador
1969,Graduation,Married,52413.0,0,56,295,106,271,75,98,65,12,6,0,1,57,0,910,Comprador
1978,Graduation,Single,38557.0,1,17,76,3,31,4,4,27,3,7,0,0,48,1,145,Não Comprador
1960,Master,Married,89058.0,0,18,454,194,106,31,22,43,4,2,0,1,66,0,850,Comprador
1979,Graduation,Together,77298.0,0,46,425,115,292,23,35,79,11,3,0,1,47,0,969,Comprador
1991,PhD,Single,68126.0,0,40,1332,17,311,23,51,86,5,9,0,1,35,0,1820,Comprador
1963,Master,Together,57288.0,0,27,527,0,21,0,0,60,8,6,0,1,63,0,608,Comprador
1991,Graduation,Single,86037.0,0,95,490,44,125,29,20,22,11,3,0,1,35,0,730,Comprador
1980,PhD,Married,43974.0,1,19,378,0,101,0,0,72,6,7,0,1,46,1,551,Comprador
1962,Graduation,Single,50785.0,1,27,64,1,21,0,1,27,3,6,0,0,64,1,114,Não Comprador
1970,Graduation,Married,90765.0,0,25,547,99,812,151,82,33,5,1,0,1,56,0,1724,Comprador
1978,2n Cycle,Married,36550.0,1,74,47,90,94,123,103,120,5,9,0,1,48,1,577,Comprador
1967,2n Cycle,Together,30753.0,1,85,12,5,25,0,9,30,3,5,0,0,59,1,81,Não Comprador
1969,Graduation,Together,21918.0,1,37,1,6,7,11,5,3,3,6,0,0,57,1,33,Não Comprador
1953,Master,Together,56129.0,0,65,320,48,133,39,72,48,10,4,0,1,73,0,660,Comprador
1967,Master,Single,32557.0,1,13,34,3,29,0,4,10,3,5,0,0,59,1,80,Não Comprador
1985,Master,Married,19510.0,2,63,9,0,7,3,4,7,3,7,0,0,41,2,30,Não Comprador
1976,Graduation,Divorced,30992.0,1,83,17,0,14,7,3,2,3,7,0,0,50,1,43,Não Comprador
1983,Graduation,Single,101970.0,0,69,722,27,102,44,72,168,13,2,0,1,43,0,1135,Comprador
1965,2n Cycle,Together,71488.0,0,87,162,33,124,40,28,172,7,1,0,0,61,0,559,Não Comprador
1984,Graduation,Single,79607.0,0,37,450,133,951,173,0,216,6,1,0,0,42,0,1923,Não Comprador
1953,Master,Married,54348.0,1,51,70,0,16,0,0,4,4,6,0,0,73,1,90,Não Comprador
1961,PhD,Married,51381.5,0,23,352,0,27,10,0,15,7,6,0,1,65,0,404,Comprador
1956,PhD,Together,77376.0,1,72,492,19,110,16,12,12,10,4,0,1,70,1,661,Comprador
1952,Graduation,Married,62998.0,0,10,120,58,73,65,89,58,5,5,0,1,74,0,463,Comprador
1958,Master,Alone,61331.0,1,42,534,5,47,0,5,41,6,8,0,1,68,1,632,Comprador
1969,Graduation,Married,73448.0,0,10,236,106,189,23,41,130,9,4,0,1,57,0,725,Comprador
1963,Graduation,Married,51381.5,0,96,231,65,196,38,71,124,7,4,0,1,63,0,725,Comprador
1964,PhD,Married,41551.0,1,51,220,0,33,3,0,23,5,8,0,1,62,1,279,Comprador
1967,PhD,Together,62981.0,0,21,796,14,590,38,44,0,13,3,0,1,59,0,1482,Comprador
1976,Basic,Divorced,9548.0,1,31,0,1,3,10,6,9,3,8,0,0,50,1,29,Não Comprador
1959,PhD,Married,33762.0,2,61,53,1,34,2,0,16,2,8,0,0,67,2,106,Não Comprador
1973,PhD,Alone,35860.0,1,37,15,0,8,4,2,20,2,5,0,0,53,1,49,Não Comprador
1965,PhD,Divorced,36921.0,1,74,17,1,12,3,1,4,3,7,0,0,61,1,38,Não Comprador
1992,Master,Single,92859.0,0,46,962,61,921,52,61,20,12,2,0,1,34,0,2077,Comprador
1976,Master,Together,65104.0,0,4,738,0,232,13,20,50,7,7,0,0,50,0,1053,Não Comprador
1962,Graduation,Married,86111.0,0,73,399,28,756,36,40,126,10,2,0,1,64,0,1385,Comprador
1974,PhD,Single,68352.0,0,47,614,16,132,43,33,33,9,6,0,1,52,0,871,Comprador
1988,Graduation,Together,41883.0,1,13,32,34,41,73,16,116,3,7,0,1,38,1,312,Comprador
1976,Graduation,Married,59809.0,0,36,598,16,141,32,41,49,6,8,0,0,50,0,877,Não Comprador
1975,Graduation,Married,23957.0,1,47,2,1,18,20,11,16,3,6,0,0,51,1,68,Não Comprador
1981,Graduation,Together,38547.0,1,49,6,1,10,0,1,4,2,8,1,0,45,1,22,Não Comprador
1973,2n Cycle,Married,35688.0,2,94,73,3,90,12,1,32,4,8,0,1,53,2,211,Comprador
1966,Master,Married,49605.0,0,65,42,16,29,12,20,8,4,3,0,0,60,0,127,Não Comprador
1953,Master,Married,59354.0,0,59,295,21,78,39,13,13,7,3,0,1,73,0,459,Comprador
1969,Graduation,Married,65747.0,0,96,346,17,48,23,13,13,6,6,0,1,57,0,460,Comprador
1972,2n Cycle,Together,46344.0,0,28,233,20,57,8,20,91,5,7,0,1,54,0,429,Comprador
1988,Graduation,Alone,34176.0,1,12,5,7,24,19,14,20,4,6,0,0,38,1,89,Não Comprador
1952,PhD,Together,61010.0,0,57,888,0,57,0,0,76,11,5,0,1,74,0,1021,Comprador
1949,Graduation,Together,69372.0,0,10,997,26,269,34,13,42,6,4,0,1,77,0,1381,Comprador
1958,Graduation,Single,49967.0,0,4,212,6,69,4,12,3,5,7,0,1,68,0,306,Comprador
1978,Graduation,Single,60199.0,1,49,8,1,7,2,0,0,3,4,0,0,48,1,18,Não Comprador
1977,Graduation,Together,55375.0,0,3,42,11,57,10,28,14,6,2,0,0,49,0,162,Não Comprador
1955,Graduation,Single,80317.0,0,64,536,11,387,149,91,57,10,1,0,0,71,0,1231,Não Comprador
1958,Master,Single,30523.0,2,0,5,0,3,0,0,5,2,7,0,0,68,2,13,Não Comprador
1945,PhD,Married,70356.0,0,20,1349,16,249,43,16,33,9,6,0,1,81,0,1706,Comprador
1984,Graduation,Married,23228.0,1,91,53,3,49,7,4,5,4,8,0,0,42,1,121,Não Comprador
1975,PhD,Divorced,74165.0,0,9,1001,12,240,16,12,12,10,2,0,1,51,0,1293,Comprador
1973,PhD,Married,157243.0,0,98,20,2,1582,1,2,1,0,0,0,0,53,0,1608,Não Comprador
1966,Graduation,Together,43482.0,2,83,18,1,32,6,3,28,4,6,0,0,60,2,88,Não Comprador
1953,Graduation,Divorced,62551.0,0,27,125,16,98,134,21,27,4,3,0,1,73,0,421,Comprador
1959,Graduation,Divorced,52332.0,0,63,212,5,33,7,0,2,6,4,0,0,67,0,259,Não Comprador
1988,Graduation,Single,66951.0,0,46,277,162,305,173,76,124,7,1,0,0,38,0,1117,Não Comprador
1957,Graduation,Together,26091.0,1,84,15,10,19,8,17,20,3,5,0,0,69,1,89,Não Comprador
1965,Graduation,Together,33456.0,1,58,7,3,10,8,1,7,3,7,0,0,61,1,36,Não Comprador
1982,Graduation,Married,28718.0,1,78,12,4,6,11,8,16,3,8,0,0,44,1,57,Não Comprador
1970,Graduation,Married,50447.0,2,4,85,7,24,2,3,27,3,6,0,0,56,2,148,Não Comprador
1959,PhD,Together,53537.0,1,17,81,0,6,0,0,6,3,5,0,0,67,1,93,Não Comprador
1967,Graduation,Single,52074.0,0,77,59,0,12,0,0,48,2,4,0,0,59,0,119,Não Comprador
1975,PhD,Married,80427.0,0,56,1149,71,449,69,71,26,8,5,0,1,51,0,1835,Comprador
1948,PhD,Married,83837.0,0,79,847,66,119,86,89,111,5,4,0,1,78,0,1318,Comprador
1970,PhD,Married,38853.0,1,90,29,0,14,0,0,2,3,7,0,0,56,1,45,Não Comprador
1959,Graduation,Together,38285.0,2,96,2,0,5,2,0,1,3,2,0,0,67,2,10,Não Comprador
1951,2n Cycle,Married,78497.0,0,44,207,26,447,75,0,223,12,2,0,1,75,0,978,Comprador
1976,PhD,Married,51650.0,0,81,152,3,22,2,5,7,4,5,0,1,50,0,191,Comprador
1988,2n Cycle,Married,16248.0,1,77,12,11,10,3,12,9,3,6,0,0,38,1,57,Não Comprador
1946,Master,Married,66835.0,0,21,620,26,195,34,17,141,13,2,0,1,80,0,1033,Comprador
1984,Master,Married,30477.0,1,16,47,1,6,0,0,12,3,6,0,0,42,1,66,Não Comprador
1961,Basic,Married,28249.0,0,80,1,9,7,2,14,10,3,6,0,0,65,0,43,Não Comprador
1983,Graduation,Married,25271.0,1,45,10,1,18,10,4,7,2,9,0,0,43,1,50,Não Comprador
1970,PhD,Single,32303.0,0,63,35,0,2,0,0,2,4,5,0,0,56,0,39,Não Comprador
1966,Graduation,Married,61286.0,0,34,356,0,107,19,9,117,8,5,0,1,60,0,608,Comprador
1976,Graduation,Married,74068.0,0,14,783,30,537,140,76,15,9,2,0,1,50,0,1581,Comprador
1964,PhD,Married,45759.0,1,13,42,1,18,3,0,4,3,7,0,0,62,1,68,Não Comprador
1978,Basic,Together,24882.0,1,52,1,4,10,29,0,36,2,6,0,0,48,1,80,Não Comprador
1989,PhD,Together,66973.0,0,98,466,22,432,147,113,102,12,3,0,1,37,0,1282,Comprador
1900,2n Cycle,Divorced,36640.0,1,99,15,6,8,7,4,25,2,5,1,0,126,1,65,Não Comprador
1988,Graduation,Married,38872.0,1,93,23,3,21,3,19,22,3,8,0,0,38,1,91,Não Comprador
1973,Graduation,Married,51148.0,1,38,235,6,45,8,9,12,6,6,0,1,53,1,315,Comprador
1977,Graduation,Married,31353.0,1,24,10,0,10,3,1,7,2,8,0,0,49,1,31,Não Comprador
1980,Master,Married,69661.0,0,80,656,16,106,32,16,8,12,3,0,1,46,0,834,Comprador
1954,Graduation,Married,80067.0,0,82,519,17,813,27,173,51,6,2,0,1,72,0,1600,Comprador
1954,Graduation,Married,86718.0,0,20,344,189,482,50,33,172,5,2,0,1,72,0,1270,Comprador
1973,PhD,Single,46854.0,1,81,96,1,79,7,1,79,3,8,0,1,53,1,263,Comprador
1952,Graduation,Divorced,69142.0,0,50,448,4,34,6,4,39,7,5,0,1,74,0,535,Comprador
1968,Graduation,Single,75922.0,0,60,265,138,553,224,23,92,9,1,0,1,58,0,1295,Comprador
1978,Graduation,Divorced,63693.0,0,63,587,43,337,42,87,54,9,6,0,1,48,0,1150,Comprador
1977,PhD,Together,102160.0,0,54,763,29,138,76,176,58,10,4,0,1,49,0,1240,Comprador
1965,PhD,Single,40637.0,1,72,22,0,13,0,0,3,3,7,0,0,61,1,38,Não Comprador
1984,Master,Single,18890.0,0,5,6,4,1,7,2,15,2,6,0,0,42,0,35,Não Comprador
1988,Graduation,Together,29604.0,1,88,7,6,13,7,6,14,3,9,0,0,38,1,53,Não Comprador
1963,Master,Divorced,48721.0,1,50,81,18,113,47,13,21,5,6,0,1,63,1,293,Comprador
1966,Graduation,Married,44794.0,0,99,54,0,7,0,0,4,3,6,0,0,60,0,65,Não Comprador
1954,Graduation,Divorced,64497.0,0,17,1170,48,320,42,32,192,9,8,0,1,72,0,1804,Comprador
1956,Graduation,Together,46097.0,0,11,72,24,68,65,4,8,6,4,0,0,70,0,241,Não Comprador
1954,Graduation,Together,77972.0,0,18,613,22,319,33,102,12,9,1,0,1,72,0,1101,Comprador
1968,PhD,Married,44377.0,1,70,224,0,30,0,0,10,5,8,0,1,58,1,264,Comprador
1974,Master,Together,46014.0,1,21,410,0,59,19,9,44,8,7,0,1,52,1,541,Comprador
1985,Graduation,Married,70951.0,0,66,239,10,554,254,87,54,9,1,0,0,41,0,1198,Não Comprador
1977,Graduation,Married,41443.0,1,79,171,7,171,25,19,89,5,8,0,1,49,1,482,Comprador
1978,2n Cycle,Single,52195.0,2,2,12,0,4,0,0,1,2,8,0,0,48,2,17,Não Comprador
1948,Master,Married,83790.0,0,81,1076,16,417,42,48,16,6,3,0,1,78,0,1615,Comprador
1954,Master,Widow,44551.0,0,24,182,4,33,0,0,66,5,7,0,1,72,0,285,Comprador
1980,Graduation,Together,69508.0,1,48,824,32,162,42,32,43,11,6,0,1,46,1,1135,Comprador
1988,2n Cycle,Together,45204.0,1,93,30,11,25,29,1,18,4,3,0,0,38,1,114,Não Comprador
1969,Graduation,Married,72460.0,0,56,377,10,540,80,30,10,7,1,0,0,57,0,1047,Não Comprador
1970,PhD,Together,77622.0,0,3,520,7,154,19,0,14,11,3,0,1,56,0,714,Comprador
1980,PhD,Married,30732.0,1,44,155,1,25,0,1,3,4,8,0,1,46,1,185,Comprador
1962,Graduation,Divorced,63887.0,0,38,897,23,207,15,11,92,12,6,0,1,64,0,1245,Comprador
1978,Graduation,Together,42011.0,1,46,131,0,16,2,1,39,4,8,0,0,48,1,189,Não Comprador
1976,Graduation,Together,51369.0,0,84,297,7,79,0,11,182,4,8,0,1,50,0,576,Comprador
1952,Graduation,Divorced,51537.0,0,27,787,20,204,0,0,92,11,8,0,0,74,0,1103,Não Comprador
1972,PhD,Married,79930.0,0,72,792,86,740,67,51,17,8,2,0,0,54,0,1753,Não Comprador
1986,PhD,Together,34320.0,1,66,4,1,9,3,0,0,2,8,0,0,40,1,17,Não Comprador
1966,Graduation,Single,37070.0,1,30,231,7,137,4,15,39,8,7,0,1,60,1,433,Comprador
1962,2n Cycle,Divorced,81975.0,0,2,983,76,184,180,138,27,4,7,0,1,64,0,1588,Comprador
1971,Graduation,Together,38590.0,1,65,3,1,8,4,3,3,2,8,0,0,55,1,22,Não Comprador
1951,Graduation,Single,15033.0,0,37,0,4,5,6,0,4,3,3,0,0,75,0,19,Não Comprador
1965,PhD,Married,62745.0,0,89,562,21,464,28,10,32,11,5,0,1,61,0,1117,Comprador
1975,2n Cycle,Married,22212.0,1,49,5,9,20,6,8,21,4,6,0,0,51,1,69,Não Comprador
1982,Master,Together,23661.0,1,46,18,0,4,0,0,1,3,7,0,0,44,1,23,Não Comprador
1958,PhD,Single,79761.0,0,32,415,5,124,15,35,11,11,3,0,1,68,0,605,Comprador
1973,Graduation,Single,7500.0,1,54,5,3,10,12,7,20,3,7,0,0,53,1,57,Não Comprador
1893,2n Cycle,Single,60182.0,0,23,8,0,5,7,0,2,2,4,0,0,133,0,22,Não Comprador
1968,Graduation,Widow,73455.0,0,98,901,61,757,186,163,20,10,3,0,1,58,0,2088,Comprador
1958,Graduation,Together,64961.0,0,97,382,114,276,75,124,38,4,3,0,1,68,0,1009,Comprador
1971,Graduation,Single,22804.0,1,75,14,1,7,2,1,1,2,9,0,0,55,1,26,Não Comprador
1990,Graduation,Married,73687.0,0,8,559,153,503,218,13,181,9,2,0,0,36,0,1627,Não Comprador
1958,Graduation,Married,61074.0,0,37,789,0,133,0,28,152,8,7,0,1,68,0,1102,Comprador
1964,PhD,Married,31686.0,1,31,11,0,5,0,0,1,3,6,0,0,62,1,17,Não Comprador
1972,Graduation,Married,80134.0,1,40,1218,16,272,104,0,80,6,6,0,1,54,1,1690,Comprador
1953,Graduation,Married,75027.0,0,74,925,64,179,133,12,77,6,5,0,1,73,0,1390,Comprador
1988,PhD,Married,67546.0,0,90,864,134,768,150,38,172,5,3,0,1,38,0,2126,Comprador
1969,Master,Together,65176.0,0,57,960,28,183,220,70,70,6,6,0,1,57,0,1531,Comprador
1975,Master,Single,31160.0,1,59,16,3,25,6,1,13,3,8,0,0,51,1,64,Não Comprador
1985,Graduation,Single,29938.0,1,52,3,3,7,0,2,11,3,6,0,0,41,1,26,Não Comprador
1974,Graduation,Divorced,102692.0,0,5,168,148,444,32,172,148,13,2,0,1,52,0,1112,Comprador
1958,2n Cycle,Together,26490.0,0,92,45,47,52,21,20,25,5,6,0,0,68,0,210,Não Comprador
1967,Graduation,Together,75702.0,1,77,650,28,353,45,42,30,11,8,0,1,59,1,1148,Comprador
1974,PhD,Single,30899.0,1,35,24,0,8,0,0,1,3,6,0,0,52,1,33,Não Comprador
1961,PhD,Together,63342.0,0,48,918,21,118,13,10,21,5,6,0,1,65,0,1101,Comprador
1964,Graduation,Single,45989.0,0,97,138,33,87,28,24,12,7,3,0,0,62,0,322,Não Comprador
1964,Graduation,Single,18701.0,1,95,12,4,2,10,6,10,4,5,0,0,62,1,44,Não Comprador
1957,PhD,Single,40737.0,2,24,11,0,4,0,0,2,2,8,0,0,69,2,17,Não Comprador
1979,Graduation,Divorced,15287.0,1,60,1,2,8,4,3,13,2,7,0,0,47,1,31,Não Comprador
1968,PhD,Divorced,69674.0,0,46,554,41,215,11,0,24,10,5,0,1,58,0,845,Comprador
1970,Master,Married,44159.0,1,85,167,2,62,24,13,7,6,5,0,1,56,1,275,Comprador
